,Country,UserCount,Latitude,Longitude,Radius
0,United States,464,39.7837304,-100.445882,20.0
1,Japan,382,36.5748441,139.2394179,17.28476821192053
2,China,289,35.0000663,104.999955,14.205298013245034
3,Russia,100,64.6863136,97.7453061,7.947019867549669
4,United Kingdom,90,54.7023545,-3.2765753,7.6158940397351
5,Germany,78,51.1638175,10.4478313,7.218543046357616
6,France,68,46.603354,1.8883335,6.887417218543046
7,India,51,22.3511148,78.6677428,6.324503311258278
8,Canada,51,61.0666922,-107.991707,6.324503311258278
9,Poland,47,52.215933,19.134422,6.19205298013245
10,Spain,44,39.3260685,-4.8379791,6.0927152317880795
11,South Korea,42,36.638392,127.6961188,6.026490066225165
12,Australia,39,-24.7761086,134.755,5.927152317880795
13,Ukraine,37,49.4871968,31.2718321,5.86092715231788
14,Vietnam,31,15.9266657,107.9650855,5.662251655629139
15,Singapore,31,1.357107,103.8194992,5.662251655629139
16,Netherlands,26,52.2434979,5.6343227,5.496688741721854
17,Brazil,21,-10.3333333,-53.2,5.331125827814569
18,Taiwan,20,23.9739374,120.9820179,5.298013245033112
19,United Arab Emirates,19,24.0002488,53.9994829,5.264900662251655
20,Israel,18,30.8124247,34.8594762,5.231788079470198
21,Switzerland,17,46.7985624,8.2319736,5.198675496688741
22,Italy,14,42.6384261,12.674297,5.099337748344371
23,Czechia,13,49.7439047,15.3381061,5.066225165562914
24,Finland,13,63.2467777,25.9209164,5.066225165562914
26,Greece,12,38.9953683,21.9877132,5.033112582781457
27,Austria,12,47.59397,14.12456,5.033112582781457
25,Sweden,12,59.6749712,14.5208584,5.033112582781457
28,Hong Kong,11,22.350627,114.1849161,5.0
29,Portugal,11,39.6621648,-8.1353519,5.0
