,Country,Count_Pre,Count_Post,Change,Latitude,Longitude,ScaledRadius
0,United States,315477,75893,-239584,39.7837304,-100.445882,15.000000000000002
2,China,35786,15310,-20476,35.0000663,104.999955,4.8413177438525805
1,India,140563,125740,-14823,22.3511148,78.6677428,4.579223111096125
3,United Kingdom,26593,13221,-13372,54.7023545,-3.2765753,4.511949218980503
5,Russia,21220,10702,-10518,64.6863136,97.7453061,4.3796268977551485
7,France,16837,6926,-9911,46.603354,1.8883335,4.351484063493134
9,Australia,15314,5518,-9796,-24.7761086,134.755,4.346152225041517
4,Canada,21752,12077,-9675,61.0666922,-107.991707,4.340542203714163
12,Taiwan,11166,2140,-9026,23.9739374,120.9820179,4.310452089321993
20,Pakistan,6164,15127,8963,30.3308401,71.247499,4.307531169126759
8,Germany,16588,8589,-7999,51.1638175,10.4478313,4.262836453758419
43,Nigeria,2229,9851,7622,9.6000359,7.9999721,4.245357296399639
36,Bangladesh,2955,10084,7129,24.4769288,90.2934413,4.22249993677662
14,Netherlands,8835,2576,-6259,52.2434979,5.6343227,4.182163419794819
11,South Korea,13307,7461,-5846,36.638392,127.6961188,4.16301516518162
19,Indonesia,6376,12186,5810,-2.4833826,117.8902853,4.161346067927201
32,Egypt,3191,8882,5691,26.2540493,29.2675469,4.155828774225093
15,Singapore,8458,2847,-5611,1.357107,103.8194992,4.1521196692152715
10,Japan,15144,10083,-5061,36.5748441,139.2394179,4.126619572272754
83,Türkiye,243,4585,4342,39.294076,35.2316631,4.093283990996991
18,Poland,6377,2874,-3503,52.215933,19.134422,4.054384752206496
16,Italy,7637,4406,-3231,42.6384261,12.674297,4.041773795173106
13,Spain,10056,6854,-3202,39.3260685,-4.8379791,4.040429244607046
23,Mexico,4096,7157,3061,23.6585116,-102.0077097,4.033891947027237
24,Israel,3990,938,-3052,30.8124247,34.8594762,4.033474672713632
21,Ukraine,5232,2297,-2935,49.4871968,31.2718321,4.028050106636769
27,Vietnam,3680,6557,2877,15.9266657,107.9650855,4.025361005504649
22,Ireland,4303,1475,-2828,52.865196,-7.9794599,4.023089178686134
26,Hong Kong,3689,1288,-2401,22.350627,114.1849161,4.003291830696216
25,Switzerland,3741,1411,-2330,46.7985624,8.2319736,4.0
