Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brazil,871,1951,4083,5004,2825,2929,3407,3481,3406,3718,1886
Canada,1565,2973,5224,5719,2143,1875,2115,2558,2808,2822,1347
China,1959,4145,8190,10460,5021,3720,3091,3744,3371,2938,1573
France,1312,2577,4617,4034,1672,1477,1735,1551,1343,1265,763
Germany,1154,2479,3524,3988,2185,1765,2134,1993,1641,1600,878
India,10006,18646,32761,33033,17844,18874,24368,25432,27527,27766,14734
Japan,767,1816,2748,3260,2852,3003,3070,2505,1703,1522,967
Russia,1378,4046,5485,4162,2286,2513,2982,2642,2260,1752,843
United Kingdom,2213,3836,6460,6233,2518,1962,2644,2796,2906,2883,1452
United States,30668,52030,87485,87474,13667,9406,10667,15255,18496,18930,9294
