,Country,UserCount,Latitude,Longitude,Radius
0,United States,391370,39.7837304,-100.445882,20.0
1,India,266303,22.3511148,78.6677428,15.133213652907742
2,China,51096,35.0000663,104.999955,6.758770439280776
3,United Kingdom,39814,54.7023545,-3.2765753,6.319749086182878
4,Brazil,35153,-10.3333333,-53.2,6.138373574146953
5,Canada,33829,61.0666922,-107.991707,6.086852188621194
6,Russia,31922,64.6863136,97.7453061,6.012644271553502
7,Japan,25227,36.5748441,139.2394179,5.7521188364364635
8,Germany,25177,51.1638175,10.4478313,5.750173164777636
9,France,23763,46.603354,1.8883335,5.695149570265986
10,Pakistan,21291,30.3308401,71.247499,5.598955563453542
11,Australia,20832,-24.7761086,134.755,5.581094297625502
12,South Korea,20768,36.638392,127.6961188,5.578603837902203
13,Indonesia,18562,-2.4833826,117.8902853,5.492760804314722
14,Spain,16910,39.3260685,-4.8379791,5.4284758127070525
15,Taiwan,13306,23.9739374,120.9820179,5.288231799538746
16,Bangladesh,13039,24.4769288,90.2934413,5.277841912880606
17,Turkey,12780,39.294076,35.2316631,5.267763333687878
18,Nigeria,12080,9.6000359,7.9999721,5.240523930464289
19,Egypt,12073,26.2540493,29.2675469,5.240251536432053
20,Italy,12043,42.6384261,12.674297,5.239084133436757
21,Netherlands,11411,52.2434979,5.6343227,5.214490843669173
22,Singapore,11305,1.357107,103.8194992,5.210366019752459
23,Mexico,11253,23.6585116,-102.0077097,5.208342521227278
24,Vietnam,10237,15.9266657,107.9650855,5.168806473119898
25,Poland,9251,52.215933,19.134422,5.130437828007814
26,Thailand,7742,14.8971921,100.83273,5.071717457344392
27,Ukraine,7529,49.4871968,31.2718321,5.063428896077785
28,Colombia,7162,4.099917,-72.9088133,5.04914766610199
29,Argentina,5899,-34.9964963,-64.9672817,5.0
